version,name,label,window,start,end,entry_session,max_allocation,target_atr_pct,return_pct,max_dd_pct,sharpe,closed_trades,win_rate_pct,avg_allocation,median_allocation,max_allocation_used,avg_estimated_stop_loss_pct,take_profit,stop_loss,indicator_exit,signal_bars,non_regular_signal_bars,regular_entry_trades,notes
D1,regular_dynamic_target125bps_max2,常规盘动态杠杆 target 1.25%,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,09:30-16:00 ET weekdays,2.0,1.25,-3.54,-12.45,-4.76,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,Polygon 无 overnight，因此主线动态版本按 regular-only 验证。
D2,regular_dynamic_target125bps_max3,常规盘动态杠杆 target 1.25%,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,09:30-16:00 ET weekdays,3.0,1.25,-3.54,-12.45,-4.76,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,Polygon 无 overnight，因此主线动态版本按 regular-only 验证。
D3,regular_dynamic_target150bps_max2,常规盘动态杠杆 target 1.5%,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,09:30-16:00 ET weekdays,2.0,1.5,-4.3,-14.78,-4.76,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,Polygon 无 overnight，因此主线动态版本按 regular-only 验证。
D4,regular_dynamic_target150bps_max3,常规盘动态杠杆 target 1.5%,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,09:30-16:00 ET weekdays,3.0,1.5,-4.3,-14.78,-4.76,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,Polygon 无 overnight，因此主线动态版本按 regular-only 验证。
D5,regular_dynamic_target200bps_max2,常规盘动态杠杆 target 2%,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,09:30-16:00 ET weekdays,2.0,2.0,-5.58,-18.52,-4.77,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,Polygon 无 overnight，因此主线动态版本按 regular-only 验证。
D6,regular_dynamic_target200bps_max3,常规盘动态杠杆 target 2%,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,09:30-16:00 ET weekdays,3.0,2.0,-5.86,-19.28,-4.77,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,Polygon 无 overnight，因此主线动态版本按 regular-only 验证。
D7,premarket_regular_dynamic_target125bps_max2,盘前 + 常规盘动态杠杆 target 1.25%,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays,2.0,1.25,-3.54,-12.45,-4.76,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,验证盘前信号在动态降仓后是否仍拖累。
D8,premarket_regular_dynamic_target125bps_max3,盘前 + 常规盘动态杠杆 target 1.25%,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays,3.0,1.25,-3.54,-12.45,-4.76,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,验证盘前信号在动态降仓后是否仍拖累。
D9,premarket_regular_dynamic_target150bps_max2,盘前 + 常规盘动态杠杆 target 1.5%,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays,2.0,1.5,-4.3,-14.78,-4.76,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,验证盘前信号在动态降仓后是否仍拖累。
D10,premarket_regular_dynamic_target150bps_max3,盘前 + 常规盘动态杠杆 target 1.5%,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays,3.0,1.5,-4.3,-14.78,-4.76,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,验证盘前信号在动态降仓后是否仍拖累。
D11,premarket_regular_dynamic_target200bps_max2,盘前 + 常规盘动态杠杆 target 2%,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays,2.0,2.0,-5.58,-18.52,-4.77,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,验证盘前信号在动态降仓后是否仍拖累。
D12,premarket_regular_dynamic_target200bps_max3,盘前 + 常规盘动态杠杆 target 2%,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays,3.0,2.0,-5.86,-19.28,-4.77,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,验证盘前信号在动态降仓后是否仍拖累。
D13,extended_day_dynamic_target125bps_max2,盘前 + 常规盘 + 盘后动态杠杆 target 1.25%,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-20:00 ET weekdays,2.0,1.25,-3.54,-12.45,-4.76,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,验证放开完整 extended day 后动态降仓能否控制回撤。
D14,extended_day_dynamic_target125bps_max3,盘前 + 常规盘 + 盘后动态杠杆 target 1.25%,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-20:00 ET weekdays,3.0,1.25,-3.54,-12.45,-4.76,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,验证放开完整 extended day 后动态降仓能否控制回撤。
D15,extended_day_dynamic_target150bps_max2,盘前 + 常规盘 + 盘后动态杠杆 target 1.5%,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-20:00 ET weekdays,2.0,1.5,-4.3,-14.78,-4.76,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,验证放开完整 extended day 后动态降仓能否控制回撤。
D16,extended_day_dynamic_target150bps_max3,盘前 + 常规盘 + 盘后动态杠杆 target 1.5%,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-20:00 ET weekdays,3.0,1.5,-4.3,-14.78,-4.76,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,验证放开完整 extended day 后动态降仓能否控制回撤。
D17,extended_day_dynamic_target200bps_max2,盘前 + 常规盘 + 盘后动态杠杆 target 2%,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-20:00 ET weekdays,2.0,2.0,-5.58,-18.52,-4.77,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,验证放开完整 extended day 后动态降仓能否控制回撤。
D18,extended_day_dynamic_target200bps_max3,盘前 + 常规盘 + 盘后动态杠杆 target 2%,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-20:00 ET weekdays,3.0,2.0,-5.86,-19.28,-4.77,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,验证放开完整 extended day 后动态降仓能否控制回撤。
D1,regular_dynamic_target125bps_max2,常规盘动态杠杆 target 1.25%,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,09:30-16:00 ET weekdays,2.0,1.25,6.81,-23.35,2.02,3,66.67,1.607,1.603,1.735,11.25,2,1,0,66,0,3,Polygon 无 overnight，因此主线动态版本按 regular-only 验证。
D2,regular_dynamic_target125bps_max3,常规盘动态杠杆 target 1.25%,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,09:30-16:00 ET weekdays,3.0,1.25,6.81,-23.35,2.02,3,66.67,1.607,1.603,1.735,11.25,2,1,0,66,0,3,Polygon 无 overnight，因此主线动态版本按 regular-only 验证。
D3,regular_dynamic_target150bps_max2,常规盘动态杠杆 target 1.5%,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,09:30-16:00 ET weekdays,2.0,1.5,8.16,-26.78,2.15,3,66.67,1.901,1.923,2.0,13.32,2,1,0,66,0,3,Polygon 无 overnight，因此主线动态版本按 regular-only 验证。
D4,regular_dynamic_target150bps_max3,常规盘动态杠杆 target 1.5%,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,09:30-16:00 ET weekdays,3.0,1.5,7.4,-27.56,2.01,3,66.67,1.929,1.923,2.082,13.5,2,1,0,66,0,3,Polygon 无 overnight，因此主线动态版本按 regular-only 验证。
D5,regular_dynamic_target200bps_max2,常规盘动态杠杆 target 2%,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,09:30-16:00 ET weekdays,2.0,2.0,9.01,-28.16,2.25,3,66.67,2.0,2.0,2.0,14.06,2,1,0,66,0,3,Polygon 无 overnight，因此主线动态版本按 regular-only 验证。
D6,regular_dynamic_target200bps_max3,常规盘动态杠杆 target 2%,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,09:30-16:00 ET weekdays,3.0,2.0,7.77,-35.52,1.98,3,66.67,2.572,2.564,2.776,18.0,2,1,0,66,0,3,Polygon 无 overnight，因此主线动态版本按 regular-only 验证。
D7,premarket_regular_dynamic_target125bps_max2,盘前 + 常规盘动态杠杆 target 1.25%,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays,2.0,1.25,6.81,-23.35,2.02,3,66.67,1.607,1.603,1.735,11.25,2,1,0,67,1,3,验证盘前信号在动态降仓后是否仍拖累。
D8,premarket_regular_dynamic_target125bps_max3,盘前 + 常规盘动态杠杆 target 1.25%,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays,3.0,1.25,6.81,-23.35,2.02,3,66.67,1.607,1.603,1.735,11.25,2,1,0,67,1,3,验证盘前信号在动态降仓后是否仍拖累。
D9,premarket_regular_dynamic_target150bps_max2,盘前 + 常规盘动态杠杆 target 1.5%,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays,2.0,1.5,8.16,-26.78,2.15,3,66.67,1.901,1.923,2.0,13.32,2,1,0,67,1,3,验证盘前信号在动态降仓后是否仍拖累。
D10,premarket_regular_dynamic_target150bps_max3,盘前 + 常规盘动态杠杆 target 1.5%,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays,3.0,1.5,7.4,-27.56,2.01,3,66.67,1.929,1.923,2.082,13.5,2,1,0,67,1,3,验证盘前信号在动态降仓后是否仍拖累。
D11,premarket_regular_dynamic_target200bps_max2,盘前 + 常规盘动态杠杆 target 2%,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays,2.0,2.0,9.01,-28.16,2.25,3,66.67,2.0,2.0,2.0,14.06,2,1,0,67,1,3,验证盘前信号在动态降仓后是否仍拖累。
D12,premarket_regular_dynamic_target200bps_max3,盘前 + 常规盘动态杠杆 target 2%,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays,3.0,2.0,7.77,-35.52,1.98,3,66.67,2.572,2.564,2.776,18.0,2,1,0,67,1,3,验证盘前信号在动态降仓后是否仍拖累。
D13,extended_day_dynamic_target125bps_max2,盘前 + 常规盘 + 盘后动态杠杆 target 1.25%,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,04:00-20:00 ET weekdays,2.0,1.25,6.81,-23.35,2.02,3,66.67,1.607,1.603,1.735,11.25,2,1,0,67,1,3,验证放开完整 extended day 后动态降仓能否控制回撤。
