version,name,label,window,start,end,entry_session,allocation,take_profit_atr,hard_stop_atr,return_pct,max_dd_pct,sharpe,closed_trades,win_rate_pct,avg_trade_pct,median_trade_pct,best_trade_pct,worst_trade_pct,take_profit,stop_loss,indicator_exit,signal_bars,non_regular_signal_bars,regular_entry_trades,notes
V1,regular_overnight_v6_long_tp10_sl9_max2,常规盘 + 夜盘,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,regular session + 20:00-04:00 ET tradifi overnight,2.0,10.0,9.0,-5.58,-18.52,-4.77,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,当前主候选：放开夜盘，排除盘前和 16:00-20:00 盘后。
V2,regular_overnight_v6_long_tp10_sl9_max3,常规盘 + 夜盘,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,regular session + 20:00-04:00 ET tradifi overnight,3.0,10.0,9.0,-8.71,-26.66,-4.78,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,当前主候选：放开夜盘，排除盘前和 16:00-20:00 盘后。
V3,session_gated_v6_long_tp10_sl9_max2,美股常规盘,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,09:30-16:00 ET weekdays,2.0,10.0,9.0,-5.58,-18.52,-4.77,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,只在 regular session 开新仓。
V4,session_gated_v6_long_tp10_sl9_max3,美股常规盘,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,09:30-16:00 ET weekdays,3.0,10.0,9.0,-8.71,-26.66,-4.78,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,只在 regular session 开新仓。
V5,premarket_regular_v6_long_tp10_sl9_max2,盘前 + 常规盘,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays,2.0,10.0,9.0,-5.58,-18.52,-4.77,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,放开盘前，不放开盘后和夜盘。
V6,premarket_regular_v6_long_tp10_sl9_max3,盘前 + 常规盘,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays,3.0,10.0,9.0,-8.71,-26.66,-4.78,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,放开盘前，不放开盘后和夜盘。
V7,extended_day_v6_long_tp10_sl9_max2,盘前 + 常规盘 + 盘后,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-20:00 ET weekdays,2.0,10.0,9.0,-5.58,-18.52,-4.77,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,放开美股 extended day，但不放开 20:00 后夜盘。
V8,extended_day_v6_long_tp10_sl9_max3,盘前 + 常规盘 + 盘后,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-20:00 ET weekdays,3.0,10.0,9.0,-8.71,-26.66,-4.78,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,放开美股 extended day，但不放开 20:00 后夜盘。
V9,premarket_regular_overnight_v6_long_tp10_sl9_max2,盘前 + 常规盘 + 夜盘,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays + tradifi overnight,2.0,10.0,9.0,-5.58,-18.52,-4.77,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,排除 16:00-20:00 盘后，但放开盘前和夜盘。
V10,premarket_regular_overnight_v6_long_tp10_sl9_max3,盘前 + 常规盘 + 夜盘,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays + tradifi overnight,3.0,10.0,9.0,-8.71,-26.66,-4.78,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,排除 16:00-20:00 盘后，但放开盘前和夜盘。
V11,tradifi_24h5_v6_long_tp10_sl9_max2,TRADIFI 24/5,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,Sunday 20:00 through Friday 20:00 ET,2.0,10.0,9.0,-5.58,-18.52,-4.77,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,近似放开股票永续可交易 24/5 时段。
V12,tradifi_24h5_v6_long_tp10_sl9_max3,TRADIFI 24/5,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,Sunday 20:00 through Friday 20:00 ET,3.0,10.0,9.0,-8.71,-26.66,-4.78,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,近似放开股票永续可交易 24/5 时段。
